"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 30 21:25:33 GMT 2025","Sun Mar 30 21:25:55 GMT 2025","21574","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Mar 30 21:25:11 GMT 2025","Sun Mar 30 21:25:32 GMT 2025","21047","Surefire suite","Surefire test","ru.gordeev.teamcity.web.SearchProjectTest","ru.gordeev.teamcity.web.SearchProjectTest","userSearchProjectTest","User should be able to search for a project",""
"passed","Sun Mar 30 21:26:06 GMT 2025","Sun Mar 30 21:26:23 GMT 2025","17303","Surefire suite","Surefire test","ru.gordeev.teamcity.web.RunBuildTest","ru.gordeev.teamcity.web.RunBuildTest","userRunBuildTest","User should be able to run build",""
"passed","Sun Mar 30 21:25:56 GMT 2025","Sun Mar 30 21:26:05 GMT 2025","9675","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sun Mar 30 21:25:04 GMT 2025","Sun Mar 30 21:25:04 GMT 2025","253","Surefire suite","Surefire test","ru.gordeev.teamcity.api.SetupTeamcityAgent","ru.gordeev.teamcity.api.SetupTeamcityAgent","setupTeamCityAgentTest","setupTeamCityAgentTest",""
