"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 22:07:19 GMT 2024","Sat Nov 23 22:07:29 GMT 2024","9973","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Nov 23 22:04:34 GMT 2024","Sat Nov 23 22:05:34 GMT 2024","59843","Surefire suite","Surefire test","ru.gordeev.teamcity.web.SetupServerTest","ru.gordeev.teamcity.web.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Sat Nov 23 22:06:39 GMT 2024","Sat Nov 23 22:07:18 GMT 2024","39094","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Nov 23 22:07:30 GMT 2024","Sat Nov 23 22:07:38 GMT 2024","7720","Surefire suite","Surefire test","ru.gordeev.teamcity.web.SearchProjectTest","ru.gordeev.teamcity.web.SearchProjectTest","userSearchProjectTest","User should be able to search for a project",""
"failed","Sat Nov 23 22:05:43 GMT 2024","Sat Nov 23 22:06:37 GMT 2024","54393","Surefire suite","Surefire test","ru.gordeev.teamcity.web.RunBuildTest","ru.gordeev.teamcity.web.RunBuildTest","userRunBuildTest","User should be able to run build",""
