"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 30 11:40:15 GMT 2025","Sun Mar 30 11:40:15 GMT 2025","179","Surefire suite","Surefire test","ru.gordeev.teamcity.api.SetupTeamcityAgent","ru.gordeev.teamcity.api.SetupTeamcityAgent","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Sun Mar 30 11:40:21 GMT 2025","Sun Mar 30 11:40:40 GMT 2025","19185","Surefire suite","Surefire test","ru.gordeev.teamcity.web.SearchProjectTest","ru.gordeev.teamcity.web.SearchProjectTest","userSearchProjectTest","User should be able to search for a project",""
"passed","Sun Mar 30 11:40:41 GMT 2025","Sun Mar 30 11:41:03 GMT 2025","21575","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Mar 30 11:41:15 GMT 2025","Sun Mar 30 11:41:33 GMT 2025","17438","Surefire suite","Surefire test","ru.gordeev.teamcity.web.RunBuildTest","ru.gordeev.teamcity.web.RunBuildTest","userRunBuildTest","User should be able to run build",""
"passed","Sun Mar 30 11:41:04 GMT 2025","Sun Mar 30 11:41:14 GMT 2025","10196","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
