"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 30 21:25:16 GMT 2025","Sun Mar 30 21:25:16 GMT 2025","202","Surefire suite","Surefire test","ru.gordeev.teamcity.api.ProjectsTest","ru.gordeev.teamcity.api.ProjectsTest","userFindsProjectByTheirName","User should be able to find project by their name",""
"failed","Sun Mar 30 21:25:15 GMT 2025","Sun Mar 30 21:25:16 GMT 2025","380","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Sun Mar 30 21:25:17 GMT 2025","Sun Mar 30 21:25:24 GMT 2025","7352","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildQueueTest","ru.gordeev.teamcity.api.BuildQueueTest","triggerBuildTest","User should be able to start build",""
"passed","Sun Mar 30 21:25:14 GMT 2025","Sun Mar 30 21:25:15 GMT 2025","1260","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sun Mar 30 21:25:05 GMT 2025","Sun Mar 30 21:25:05 GMT 2025","213","Surefire suite","Surefire test","ru.gordeev.teamcity.api.SetupTeamcityAgent","ru.gordeev.teamcity.api.SetupTeamcityAgent","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Sun Mar 30 21:25:14 GMT 2025","Sun Mar 30 21:25:14 GMT 2025","0","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sun Mar 30 21:25:14 GMT 2025","Sun Mar 30 21:25:14 GMT 2025","7","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Sun Mar 30 21:25:16 GMT 2025","Sun Mar 30 21:25:16 GMT 2025","203","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildQueueTest","ru.gordeev.teamcity.api.BuildQueueTest","triggerBuildNegativeTest","User should not be able to start build without buildType",""
