"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 20:29:27 GMT 2025","Mon Mar 31 20:29:27 GMT 2025","264","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildQueueTest","ru.gordeev.teamcity.api.BuildQueueTest","triggerBuildNegativeTest","User should not be able to start build without buildType",""
"passed","Mon Mar 31 20:29:25 GMT 2025","Mon Mar 31 20:29:25 GMT 2025","10","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Mon Mar 31 20:29:15 GMT 2025","Mon Mar 31 20:29:16 GMT 2025","261","Surefire suite","Surefire test","ru.gordeev.teamcity.api.SetupTeamcityAgent","ru.gordeev.teamcity.api.SetupTeamcityAgent","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Mar 31 20:29:25 GMT 2025","Mon Mar 31 20:29:25 GMT 2025","1","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Mon Mar 31 20:29:28 GMT 2025","Mon Mar 31 20:29:36 GMT 2025","8206","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildQueueTest","ru.gordeev.teamcity.api.BuildQueueTest","triggerBuildTest","User should be able to start build",""
"passed","Mon Mar 31 20:29:27 GMT 2025","Mon Mar 31 20:29:27 GMT 2025","250","Surefire suite","Surefire test","ru.gordeev.teamcity.api.ProjectsTest","ru.gordeev.teamcity.api.ProjectsTest","userFindsProjectByTheirName","User should be able to find project by their name",""
"passed","Mon Mar 31 20:29:25 GMT 2025","Mon Mar 31 20:29:26 GMT 2025","1275","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"failed","Mon Mar 31 20:29:26 GMT 2025","Mon Mar 31 20:29:27 GMT 2025","356","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
