"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 10:25:59 GMT 2024","Thu Nov 28 10:26:00 GMT 2024","395","Surefire suite","Surefire test","ru.gordeev.teamcity.api.SetupTeamcityAgent","ru.gordeev.teamcity.api.SetupTeamcityAgent","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Thu Nov 28 10:27:18 GMT 2024","Thu Nov 28 10:27:30 GMT 2024","11658","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Thu Nov 28 10:27:31 GMT 2024","Thu Nov 28 10:27:39 GMT 2024","8394","Surefire suite","Surefire test","ru.gordeev.teamcity.web.SearchProjectTest","ru.gordeev.teamcity.web.SearchProjectTest","userSearchProjectTest","User should be able to search for a project",""
"passed","Thu Nov 28 10:26:49 GMT 2024","Thu Nov 28 10:27:17 GMT 2024","28006","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Nov 28 10:26:08 GMT 2024","Thu Nov 28 10:26:47 GMT 2024","39403","Surefire suite","Surefire test","ru.gordeev.teamcity.web.RunBuildTest","ru.gordeev.teamcity.web.RunBuildTest","userRunBuildTest","User should be able to run build",""
