"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 21:26:54 GMT 2024","Sat Nov 23 21:27:22 GMT 2024","28041","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Nov 23 21:27:23 GMT 2024","Sat Nov 23 21:27:34 GMT 2024","10573","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Nov 23 21:24:47 GMT 2024","Sat Nov 23 21:25:48 GMT 2024","60340","Surefire suite","Surefire test","ru.gordeev.teamcity.web.SetupServerTest","ru.gordeev.teamcity.web.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Nov 23 21:27:35 GMT 2024","Sat Nov 23 21:27:43 GMT 2024","8073","Surefire suite","Surefire test","ru.gordeev.teamcity.web.SearchProjectTest","ru.gordeev.teamcity.web.SearchProjectTest","userSearchProjectTest","User should be able to search for a project",""
"failed","Sat Nov 23 21:25:58 GMT 2024","Sat Nov 23 21:26:52 GMT 2024","54556","Surefire suite","Surefire test","ru.gordeev.teamcity.web.RunBuildTest","ru.gordeev.teamcity.web.RunBuildTest","userRunBuildTest","User should be able to run build",""
