"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 10:26:18 GMT 2024","Thu Nov 28 10:26:19 GMT 2024","451","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Nov 28 10:26:18 GMT 2024","Thu Nov 28 10:26:18 GMT 2024","2","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Nov 28 10:26:13 GMT 2024","Thu Nov 28 10:26:14 GMT 2024","654","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildQueueTest","ru.gordeev.teamcity.api.BuildQueueTest","triggerBuildNegativeTest","User should not be able to start build without buildType",""
"passed","Thu Nov 28 10:26:20 GMT 2024","Thu Nov 28 10:26:21 GMT 2024","685","Surefire suite","Surefire test","ru.gordeev.teamcity.api.ProjectsTest","ru.gordeev.teamcity.api.ProjectsTest","userFindsProjectByTheirName","User should be able to find project by their name",""
"passed","Thu Nov 28 10:26:19 GMT 2024","Thu Nov 28 10:26:20 GMT 2024","518","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Nov 28 10:26:14 GMT 2024","Thu Nov 28 10:26:18 GMT 2024","4438","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildQueueTest","ru.gordeev.teamcity.api.BuildQueueTest","triggerBuildTest","User should be able to start build",""
"passed","Thu Nov 28 10:26:02 GMT 2024","Thu Nov 28 10:26:03 GMT 2024","370","Surefire suite","Surefire test","ru.gordeev.teamcity.api.SetupTeamcityAgent","ru.gordeev.teamcity.api.SetupTeamcityAgent","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Thu Nov 28 10:26:18 GMT 2024","Thu Nov 28 10:26:18 GMT 2024","1","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
