"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 21:51:07 GMT 2024","Sat Nov 23 21:51:17 GMT 2024","10483","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Nov 23 21:48:15 GMT 2024","Sat Nov 23 21:49:15 GMT 2024","59670","Surefire suite","Surefire test","ru.gordeev.teamcity.web.SetupServerTest","ru.gordeev.teamcity.web.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Sat Nov 23 21:49:24 GMT 2024","Sat Nov 23 21:50:22 GMT 2024","57609","Surefire suite","Surefire test","ru.gordeev.teamcity.web.RunBuildTest","ru.gordeev.teamcity.web.RunBuildTest","userRunBuildTest","User should be able to run build",""
"passed","Sat Nov 23 21:51:18 GMT 2024","Sat Nov 23 21:51:26 GMT 2024","7921","Surefire suite","Surefire test","ru.gordeev.teamcity.web.SearchProjectTest","ru.gordeev.teamcity.web.SearchProjectTest","userSearchProjectTest","User should be able to search for a project",""
"failed","Sat Nov 23 21:50:23 GMT 2024","Sat Nov 23 21:51:06 GMT 2024","42773","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProject","User should be able to create project",""
