"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 23 21:25:50 GMT 2024","Sat Nov 23 21:25:51 GMT 2024","931","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildQueueTest","ru.gordeev.teamcity.api.BuildQueueTest","triggerBuildNegativeTest","User should not be able to start build without buildType",""
"passed","Sat Nov 23 21:26:11 GMT 2024","Sat Nov 23 21:26:11 GMT 2024","287","Surefire suite","Surefire test","ru.gordeev.teamcity.api.ProjectsTest","ru.gordeev.teamcity.api.ProjectsTest","userFindsProjectByTheirName","User should be able to find project by their name",""
"passed","Sat Nov 23 21:26:09 GMT 2024","Sat Nov 23 21:26:09 GMT 2024","1","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Sat Nov 23 21:26:10 GMT 2024","Sat Nov 23 21:26:11 GMT 2024","883","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"broken","Sat Nov 23 21:25:51 GMT 2024","Sat Nov 23 21:26:08 GMT 2024","16982","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildQueueTest","ru.gordeev.teamcity.api.BuildQueueTest","triggerBuildTest","User should be able to start build",""
"passed","Sat Nov 23 21:26:09 GMT 2024","Sat Nov 23 21:26:09 GMT 2024","2","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Sat Nov 23 21:26:09 GMT 2024","Sat Nov 23 21:26:10 GMT 2024","1117","Surefire suite","Surefire test","ru.gordeev.teamcity.api.BuildTypeTest","ru.gordeev.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Nov 23 21:24:39 GMT 2024","Sat Nov 23 21:25:39 GMT 2024","60203","Surefire suite","Surefire test","ru.gordeev.teamcity.web.SetupServerTest","ru.gordeev.teamcity.web.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
