"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 20:29:20 GMT 2025","Mon Mar 31 20:29:47 GMT 2025","26773","Surefire suite","Surefire test","ru.gordeev.teamcity.web.SearchProjectTest","ru.gordeev.teamcity.web.SearchProjectTest","userSearchProjectTest","User should be able to search for a project",""
"passed","Mon Mar 31 20:29:48 GMT 2025","Mon Mar 31 20:30:12 GMT 2025","23615","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Mon Mar 31 20:30:25 GMT 2025","Mon Mar 31 20:30:47 GMT 2025","21503","Surefire suite","Surefire test","ru.gordeev.teamcity.web.RunBuildTest","ru.gordeev.teamcity.web.RunBuildTest","userRunBuildTest","User should be able to run build",""
"passed","Mon Mar 31 20:30:13 GMT 2025","Mon Mar 31 20:30:24 GMT 2025","11281","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Mon Mar 31 20:29:14 GMT 2025","Mon Mar 31 20:29:14 GMT 2025","183","Surefire suite","Surefire test","ru.gordeev.teamcity.api.SetupTeamcityAgent","ru.gordeev.teamcity.api.SetupTeamcityAgent","setupTeamCityAgentTest","setupTeamCityAgentTest",""
