"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 30 11:32:48 GMT 2025","Sun Mar 30 11:33:08 GMT 2025","20346","Surefire suite","Surefire test","ru.gordeev.teamcity.web.SearchProjectTest","ru.gordeev.teamcity.web.SearchProjectTest","userSearchProjectTest","User should be able to search for a project",""
"passed","Sun Mar 30 11:33:42 GMT 2025","Sun Mar 30 11:33:59 GMT 2025","16992","Surefire suite","Surefire test","ru.gordeev.teamcity.web.RunBuildTest","ru.gordeev.teamcity.web.RunBuildTest","userRunBuildTest","User should be able to run build",""
"passed","Sun Mar 30 11:32:41 GMT 2025","Sun Mar 30 11:32:42 GMT 2025","263","Surefire suite","Surefire test","ru.gordeev.teamcity.api.SetupTeamcityAgent","ru.gordeev.teamcity.api.SetupTeamcityAgent","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Sun Mar 30 11:33:09 GMT 2025","Sun Mar 30 11:33:31 GMT 2025","21856","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Mar 30 11:33:32 GMT 2025","Sun Mar 30 11:33:41 GMT 2025","9852","Surefire suite","Surefire test","ru.gordeev.teamcity.web.CreateProjectTest","ru.gordeev.teamcity.web.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
